"Comment","Designator","Footprint","LCSC Part #"
"Conn_01x05_Female","J1","",""
"SolderJumper_3_Bridged12","JP1 JP2","",""
"PS2_Port","P1","",""
"SeeeduinoXIAO","QT_Board1","",""
"Conn_01x04_Female","Screen1","",""
